rosbag_path,timestamp_sec,timestamp_nanosec,label,binary_label
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,470706543,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,503635010,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,536515137,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,569347412,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,601803223,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,634867920,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,667556152,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,699869385,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,732788574,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,765332764,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,797503174,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,830276855,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,862352051,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,895028809,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,927332764,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,959265625,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461071,991796631,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,23634277,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,56068359,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,83831787,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,119827148,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,150909912,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,184111084,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,217984131,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,251183594,no_food,0
/home/atharva2/atharvak_ws/src/rosbags/FaceLeaf1_8-30-23,1693461072,285054932,no_food,0
